link,name,ou,domain,complexity
https://byui.brightspace.com/d2l/p/home/244123,ACCTG 180: 01 (Online); Spring 2017,244123,byui,complex
https://byui.brightspace.com/d2l/p/home/244124,ACCTG 180: 02 (Online); Spring 2017,244124,byui,complex
https://byui.brightspace.com/d2l/p/home/244125,ACCTG 180: 03 (Online); Spring 2017,244125,byui,complex
https://byui.brightspace.com/d2l/p/home/244130,ACCTG 180: 04 (Online); Spring 2017,244130,byui,complex
https://byui.brightspace.com/d2l/p/home/244139,ACCTG 180: 05 (Online); Spring 2017,244139,byui,complex
https://byui.brightspace.com/d2l/p/home/259153,ACCTG 180: 12 (Online); Spring 2017,259153,byui,complex
https://byui.brightspace.com/d2l/p/home/261812,ACCTG 201: 01 (Online); Spring 2017,261812,byui,complex
https://byui.brightspace.com/d2l/p/home/261825,ACCTG 201: 02 (Online); Spring 2017,261825,byui,complex
https://byui.brightspace.com/d2l/p/home/261826,ACCTG 201: 03 (Online); Spring 2017,261826,byui,simple
